Mode,Year,Scenario,Scenario branch,Technology,VC
CO2 Price,2025,ST,EUCO,CCGT,31.8
CO2 Price,2025,ST,EUCO,OCGT,49.3
CO2 Price,2025,ST,ST,Lignite,50.5
CO2 Price,2025,ST,ST,Hard Coal,61.6
CO2 Price,2025,ST,ST,CCGT,44.4
CO2 Price,2025,ST,ST,OCGT,68.7
CO2 Price,2025,ST,DG,Lignite,36.6
CO2 Price,2025,ST,DG,Hard Coal,48.6
CO2 Price,2025,ST,DG,CCGT,36.8
CO2 Price,2025,ST,DG,OCGT,56.9
CO2 Price,2025,DG,EUCO,Lignite,27.2
CO2 Price,2025,DG,EUCO,Hard Coal,39.9
CO2 Price,2025,DG,EUCO,CCGT,31.0
CO2 Price,2025,DG,EUCO,OCGT,48.0
CO2 Price,2025,DG,ST,Lignite,50.5
CO2 Price,2025,DG,ST,Hard Coal,61.6
CO2 Price,2025,DG,ST,CCGT,43.7
CO2 Price,2025,DG,ST,OCGT,67.7
CO2 Price,2025,DG,DG,Lignite,36.6
CO2 Price,2025,DG,DG,Hard Coal,48.6
CO2 Price,2025,DG,DG,CCGT,35.6
CO2 Price,2025,DG,DG,OCGT,55.1
CO2 Price,2025,EVP,EUCO,Lignite,28.8
CO2 Price,2025,EVP,EUCO,Hard Coal,42.0
CO2 Price,2025,EVP,EUCO,CCGT,31.7
CO2 Price,2025,EVP,EUCO,OCGT,49.0
CO2 Price,2025,EVP,ST,Lignite,52.1
CO2 Price,2025,EVP,ST,Hard Coal,63.7
CO2 Price,2025,EVP,ST,CCGT,44.4
CO2 Price,2025,EVP,ST,OCGT,68.7
CO2 Price,2025,EVP,DG,Lignite,38.2
CO2 Price,2025,EVP,DG,Hard Coal,50.7
CO2 Price,2025,EVP,DG,CCGT,36.6
CO2 Price,2025,EVP,DG,OCGT,56.7
CO2 Price,2030,EUCO,EUCO,Lignite,40.2
CO2 Price,2030,EUCO,EUCO,Hard Coal,53.7
CO2 Price,2030,EUCO,EUCO,CCGT,33.9
CO2 Price,2030,EUCO,EUCO,OCGT,52.6
CO2 Price,2030,EUCO,ST,Lignite,86.4
CO2 Price,2030,EUCO,ST,Hard Coal,96.9
CO2 Price,2030,EUCO,ST,CCGT,55.1
CO2 Price,2030,EUCO,ST,OCGT,85.5
CO2 Price,2030,EUCO,DG,Lignite,58.8
CO2 Price,2030,EUCO,DG,Hard Coal,71.1
CO2 Price,2030,EUCO,DG,CCGT,42.2
CO2 Price,2030,EUCO,DG,OCGT,65.5
CO2 Price,2030,ST,EUCO,Lignite,30.6
CO2 Price,2030,ST,EUCO,Hard Coal,41.3
CO2 Price,2030,ST,EUCO,CCGT,33.3
CO2 Price,2030,ST,EUCO,OCGT,51.6
CO2 Price,2030,ST,ST,Lignite,76.8
CO2 Price,2030,ST,ST,Hard Coal,84.5
CO2 Price,2030,ST,ST,CCGT,55.6
CO2 Price,2030,ST,ST,OCGT,86.3
CO2 Price,2030,ST,DG,Lignite,49.1
CO2 Price,2030,ST,DG,Hard Coal,58.6
CO2 Price,2030,ST,DG,CCGT,42.2
CO2 Price,2030,ST,DG,OCGT,65.4
CO2 Price,2030,DG,EUCO,Lignite,30.6
CO2 Price,2030,DG,EUCO,Hard Coal,41.3
CO2 Price,2030,DG,EUCO,CCGT,32.4
CO2 Price,2030,DG,EUCO,OCGT,50.3
CO2 Price,2030,DG,ST,Lignite,76.8
CO2 Price,2030,DG,ST,Hard Coal,84.5
CO2 Price,2030,DG,ST,CCGT,54.7
CO2 Price,2030,DG,ST,OCGT,84.9
CO2 Price,2030,DG,DG,Lignite,49.1
CO2 Price,2030,DG,DG,Hard Coal,58.6
CO2 Price,2030,DG,DG,CCGT,40.8
CO2 Price,2030,DG,DG,OCGT,63.4
CO2 Price,2030,EVP,EUCO,Lignite,33.8
CO2 Price,2030,EVP,EUCO,Hard Coal,45.4
CO2 Price,2030,EVP,EUCO,CCGT,33.1
CO2 Price,2030,EVP,EUCO,OCGT,51.3
CO2 Price,2030,EVP,ST,Lignite,80.0
CO2 Price,2030,EVP,ST,Hard Coal,88.7
CO2 Price,2030,EVP,ST,CCGT,55.4
CO2 Price,2030,EVP,ST,OCGT,86.1
CO2 Price,2030,EVP,DG,Lignite,52.3
CO2 Price,2030,EVP,DG,Hard Coal,62.8
CO2 Price,2030,EVP,DG,CCGT,41.9
CO2 Price,2030,EVP,DG,OCGT,65.1
